Drug1_ID,Drug2_ID,Level,Y,class
DB0195,DB1281,Moderate,1,1
DB0530,DB1318,Major,0,3
DB0856,DB0827,Moderate,1,1
DB1210,DB0563,Moderate,1,378
DB0002,DB0118,Moderate,1,5
DB1423,DB0004,Moderate,1,57
DB0793,DB0379,Major,0,58
DB0608,DB0996,Moderate,1,15
DB0328,DB0218,Major,0,2
DB0416,DB0560,Major,0,58
DB0201,DB1354,Moderate,1,5
DB1094,DB1135,Minor,2,1
DB0420,DB1180,Moderate,1,35
DB0186,DB0373,Moderate,1,137
DB0441,DB0382,Major,0,4
DB1232,DB0974,Minor,2,6
DB0946,DB0774,Minor,2,136
DB0788,DB1519,Major,0,5
DB0889,DB1118,Moderate,1,6
DB1488,DB1148,Moderate,1,8
DB1190,DB0906,Moderate,1,13478
DB0400,DB0798,Moderate,1,1347
DB1087,DB0089,Minor,2,5
DB1349,DB0787,Moderate,1,8
DB0146,DB0367,Moderate,1,1
DB0330,DB1343,Moderate,1,13
DB0382,DB1545,Moderate,1,4
DB1327,DB0740,Major,0,58
DB0107,DB0358,Moderate,1,5
DB0530,DB0458,Major,0,13
DB1348,DB0511,Major,0,5
DB1466,DB0484,Moderate,1,35
DB1231,DB1147,Moderate,1,8
DB0755,DB0806,Moderate,1,7
DB0873,DB0702,Moderate,1,1238
DB0620,DB0511,Moderate,1,5
DB1531,DB0901,Moderate,1,37
DB0337,DB0104,Moderate,1,17
DB1210,DB0157,Moderate,1,3578
DB0308,DB0186,Major,0,1357
DB0010,DB1258,Moderate,1,1
DB0831,DB0872,Moderate,1,14
DB1534,DB0400,Moderate,1,13457
DB1192,DB0491,Moderate,1,148
DB1026,DB0623,Moderate,1,1
DB1370,DB1093,Major,0,5
DB0029,DB1475,Moderate,1,67
DB1376,DB1017,Moderate,1,35
DB0124,DB0643,Moderate,1,1
DB0963,DB0709,Moderate,1,15
DB1204,DB0813,Moderate,1,1
DB0793,DB1064,Major,0,5
DB0470,DB1116,Moderate,1,37
DB0282,DB1087,Moderate,1,56
DB1358,DB0485,Moderate,1,7
DB0086,DB0717,Moderate,1,7
DB0204,DB0215,Moderate,1,13
DB0389,DB0567,Moderate,1,35
DB0702,DB1367,Moderate,1,1
DB0819,DB1327,Moderate,1,5
DB0058,DB0583,Minor,2,1
DB1239,DB0560,Moderate,1,5
DB0320,DB1426,Moderate,1,5
DB0053,DB0003,Moderate,1,5
DB0288,DB0926,Minor,2,1
DB0375,DB0147,Moderate,1,5
DB1190,DB0223,Moderate,1,13478
DB0170,DB0336,Moderate,1,7
DB0330,DB0005,Moderate,1,135
DB0904,DB1165,Moderate,1,1
DB0149,DB0709,Moderate,1,13457
DB0944,DB0070,Moderate,1,1
DB1296,DB1002,Moderate,1,7
DB0375,DB1039,Moderate,1,5
DB1434,DB0662,Moderate,1,1
DB0669,DB0211,Moderate,1,1
DB1557,DB1507,Minor,2,25
DB1148,DB0663,Moderate,1,1378
DB0029,DB1438,Moderate,1,7
DB1376,DB0877,Moderate,1,35
DB0831,DB1449,Moderate,1,148
DB0167,DB0359,Moderate,1,5
DB0549,DB1100,Moderate,1,15
DB1407,DB1190,Moderate,1,13478
DB0691,DB1523,Moderate,1,1347
DB1326,DB0147,Major,0,5
DB0876,DB0519,Moderate,1,1278
DB0585,DB1553,Major,0,5
DB1156,DB0897,Moderate,1,1
DB0400,DB0709,Moderate,1,13457
DB1058,DB0708,Moderate,1,57
DB0594,DB0549,Moderate,1,45
DB1140,DB1061,Moderate,1,7
DB1024,DB0186,Moderate,1,137
DB0149,DB0046,Moderate,1,1347
DB0006,DB1532,Moderate,1,17
DB1413,DB1415,Moderate,1,138
DB0889,DB0106,Major,0,6
DB0678,DB0559,Moderate,1,6
DB1466,DB0798,Moderate,1,35
DB0035,DB1197,Moderate,1,16
DB0510,DB1085,Major,0,5
DB0945,DB0512,Moderate,1,17
DB0287,DB1364,Moderate,1,1
DB1346,DB0832,Moderate,1,5
DB1293,DB1064,Moderate,1,57
DB1395,DB0192,Moderate,1,1
DB1192,DB0208,Minor,2,14
DB0317,DB1490,Moderate,1,37
DB0095,DB0017,Moderate,1,7
DB0132,DB0284,Moderate,1,3
DB1478,DB1257,Major,0,5
DB1084,DB0747,Moderate,1,238
DB1114,DB0650,Minor,2,5
DB0288,DB0439,Moderate,1,1
DB0679,DB1340,Moderate,1,1
DB1210,DB0086,Moderate,1,378
DB0641,DB0383,Moderate,1,5
DB0601,DB1149,Moderate,1,1
DB1468,DB0743,Moderate,1,1347
DB0912,DB0813,Major,0,1
DB0112,DB0313,Moderate,1,17
DB0354,DB1358,Moderate,1,5
DB1282,DB1504,Moderate,1,5
DB1440,DB0159,Major,0,5
DB0435,DB1446,Moderate,1,5
DB0379,DB0957,Moderate,1,58
DB1279,DB0422,Moderate,1,3
DB0049,DB0873,Major,0,1238
DB0766,DB0789,Moderate,1,356
DB0287,DB1349,Major,0,1
DB1098,DB0868,Moderate,1,124
DB1406,DB0084,Moderate,1,1
DB0537,DB1412,Moderate,1,4
DB0418,DB1156,Moderate,1,18
DB0613,DB0472,Moderate,1,5
DB1056,DB0473,Moderate,1,15
DB1461,DB0208,Minor,2,1
DB1011,DB1302,Moderate,1,1
DB1479,DB1102,Major,0,4
DB0774,DB1075,Moderate,1,3
DB0823,DB0935,Minor,2,37
DB1515,DB0208,Minor,2,1
DB1070,DB1210,Moderate,1,378
DB0958,DB0154,Major,0,2
DB0286,DB0868,Moderate,1,12
DB1317,DB1128,Moderate,1,1
DB0055,DB1489,Moderate,1,35
DB0493,DB1394,Moderate,1,4
DB0743,DB0529,Moderate,1,1
DB0986,DB1408,Moderate,1,1
DB0083,DB0792,Moderate,1,5
DB0666,DB1449,Moderate,1,158
DB1376,DB1296,Moderate,1,357
DB1346,DB1110,Moderate,1,56
DB0492,DB0691,Moderate,1,1347
DB0275,DB0788,Moderate,1,35
DB0028,DB0565,Moderate,1,1
DB1485,DB0273,Moderate,1,7
DB0749,DB1548,Moderate,1,7
DB0434,DB0154,Major,0,2
DB1231,DB1103,Major,0,5
DB1485,DB0175,Moderate,1,7
DB1547,DB1190,Moderate,1,123478
DB0195,DB1019,Moderate,1,5
DB0547,DB1307,Moderate,1,38
DB0476,DB1210,Moderate,1,378
DB0988,DB1031,Moderate,1,8
DB1285,DB0286,Moderate,1,1
DB0185,DB0805,Moderate,1,7
DB1493,DB0557,Moderate,1,1
DB0072,DB0871,Moderate,1,1
DB1251,DB0234,Moderate,1,1
DB1377,DB0047,Moderate,1,8
DB1293,DB0868,Moderate,1,127
DB0713,DB1190,Moderate,1,134578
DB0096,DB1160,Moderate,1,7
DB1468,DB0046,Moderate,1,1347
DB0072,DB0745,Major,0,5
DB0810,DB1547,Moderate,1,12
DB1455,DB0790,Moderate,1,5
DB1401,DB0481,Moderate,1,7
DB0354,DB0499,Major,0,15
DB1232,DB1276,Moderate,1,6
DB0824,DB1232,Moderate,1,367
DB0517,DB1507,Major,0,5
DB1356,DB1507,Major,0,5
DB0367,DB0785,Moderate,1,14
DB0155,DB0543,Moderate,1,5
DB0618,DB1170,Moderate,1,5
