Drug1_ID,Drug2_ID,Y,Neg samples
DB00694,DB00586,71,DB00925$h
DB01020,DB00220,46,DB00354$t
DB00503,DB09074,46,DB06261$t
DB00253,DB00808,82,DB06410$h
DB09204,DB00214,48,DB01065$h
DB01401,DB00695,28,DB06781$t
DB13595,DB06786,2,DB01065$h
DB09300,DB00854,48,DB00341$t
DB06736,DB00596,48,DB06724$h
DB00963,DB00635,48,DB01414$h
DB01154,DB09017,48,DB08909$t
DB00751,DB01250,48,DB01356$h
DB00418,DB01214,59,DB00300$t
DB09225,DB00341,48,DB01396$h
DB01149,DB00831,48,DB01151$h
DB01246,DB01214,59,DB00950$h
DB04898,DB00945,5,DB00691$h
DB00843,DB00960,53,DB06804$h
DB00433,DB00555,48,DB09070$t
DB00688,DB00232,69,DB01120$t
DB01577,DB00568,75,DB00451$h
DB01076,DB06335,72,DB00237$t
DB00854,DB06274,48,DB01294$h
DB01095,DB05812,72,DB06771$t
DB05294,DB01211,46,DB00686$t
DB09352,DB00924,22,DB13139$h
DB00359,DB00657,48,DB11575$t
DB01202,DB08883,15,DB01029$h
DB01320,DB09039,74,DB00931$h
DB00187,DB00768,36,DB00701$t
DB00866,DB01288,13,DB06715$t
DB08881,DB06738,74,DB05015$t
DB01409,DB09074,46,DB01154$t
DB00842,DB01104,48,DB00783$t
DB00231,DB01015,46,DB09060$t
DB00540,DB00343,46,DB00794$t
DB00333,DB01149,46,DB12364$h
DB00497,DB00852,68,DB13167$t
DB01628,DB00476,52,DB01452$h
DB06144,DB00341,48,DB00780$t
DB00604,DB00537,19,DB04855$t
DB01222,DB01043,48,DB00495$t
DB00818,DB01203,48,DB06204$t
DB00899,DB00968,48,DB00682$t
DB00934,DB00277,46,DB06826$t
DB00333,DB00177,46,DB00928$t
DB09280,DB01166,74,DB08819$h
DB00264,DB00818,72,DB04398$h
DB09292,DB00657,48,DB00691$t
DB13167,DB00443,48,DB00804$t
DB00697,DB00413,31,DB09038$t
DB08439,DB01088,69,DB01195$t
DB01209,DB09224,48,DB09267$t
DB00169,DB00285,46,DB00888$t
DB00608,DB00398,19,DB00700$h
DB01238,DB09235,59,DB00296$h
DB01030,DB06287,72,DB00467$t
DB00257,DB09230,48,DB01366$t
DB00238,DB05109,74,DB09008$h
DB09414,DB00326,66,DB09291$t
DB01159,DB06594,48,DB01366$t
DB00425,DB00257,72,DB01553$t
DB01201,DB00343,3,DB13874$h
DB00606,DB11362,59,DB09053$h
DB08899,DB09074,74,DB00664$h
DB04855,DB01069,19,DB00255$t
DB00224,DB09073,72,DB00774$t
DB08864,DB09065,72,DB01103$t
DB00346,DB01427,59,DB00711$t
DB00420,DB00748,48,DB00915$h
DB09216,DB09270,48,DB00235$h
DB00246,DB00854,48,DB00782$t
DB00239,DB00641,48,DB00405$t
DB00678,DB08976,48,DB00604$t
DB01708,DB00467,48,DB05219$h
DB00680,DB00656,48,DB00682$h
DB09053,DB00444,72,DB13595$h
DB01590,DB00934,72,DB01121$t
DB09204,DB09286,48,DB00424$t
DB00599,DB06282,48,DB09130$h
DB00333,DB00292,48,DB06800$t
DB00936,DB09236,48,DB09156$t
DB00877,DB09227,48,DB09135$h
DB00751,DB05521,46,DB01602$t
DB01018,DB06414,46,DB00384$t
DB00187,DB08797,36,DB01208$t
DB09068,DB00771,48,DB11574$t
DB01580,DB00356,48,DB09293$t
DB00179,DB08905,48,DB06816$h
DB00312,DB00683,3,DB08932$h
DB13783,DB04840,69,DB01364$h
DB00821,DB00310,69,DB09021$h
DB09054,DB06636,76,DB00370$t
DB00469,DB01708,48,DB11239$h
DB00381,DB00571,48,DB01156$h
DB09068,DB08883,15,DB00458$t
DB00201,DB05812,72,DB00890$t
DB00933,DB04868,46,DB00963$t
DB00814,DB01029,46,DB01393$t
DB00243,DB08901,72,DB06401$t
DB00280,DB09063,72,DB01429$t
DB00956,DB01320,15,DB00732$t
DB00721,DB00413,31,DB09067$t
DB01186,DB08808,24,DB01150$t
DB00261,DB00715,19,DB01044$h
DB00346,DB09075,72,DB00997$t
DB05265,DB00783,74,DB03796$t
DB01159,DB01068,48,DB06480$t
DB00178,DB01628,48,DB09275$h
DB00738,DB06717,72,DB00958$h
DB01320,DB08918,3,DB04846$h
DB01338,DB01339,48,DB00559$h
DB00812,DB01013,48,DB00493$h
DB00268,DB00270,46,DB00384$t
DB01208,DB01377,66,DB00900$h
DB01628,DB00467,26,DB09060$t
DB00962,DB06738,48,DB00688$h
DB00564,DB08907,74,DB08976$h
DB00628,DB09068,48,DB06287$h
DB01227,DB01615,48,DB09138$t
DB00502,DB00508,48,DB12278$t
DB01100,DB01104,19,DB00184$t
DB00866,DB01180,59,DB09072$t
DB09034,DB04908,15,DB01431$h
DB09101,DB01072,72,DB08909$t
DB00736,DB06413,46,DB01221$h
DB00312,DB00949,72,DB09291$h
DB00420,DB09080,19,DB01501$h
DB00691,DB01193,48,DB01165$t
DB00185,DB09074,46,DB09257$t
DB00559,DB00343,72,DB00415$t
DB00636,DB00289,46,DB01058$t
DB01601,DB01124,3,DB00537$h
DB00181,DB00472,48,DB00218$t
DB01201,DB00231,3,DB11699$h
DB00959,DB00222,69,DB11135$t
DB01282,DB00343,48,DB06152$h
DB00672,DB00544,46,DB04951$t
DB01403,DB01142,15,DB01327$h
DB01065,DB01202,48,DB09030$h
DB00333,DB00927,19,DB01086$t
DB01236,DB00748,48,DB00475$t
DB00486,DB01017,15,DB00330$t
DB00469,DB00608,48,DB08987$t
DB00278,DB06636,46,DB09130$h
DB00611,DB13025,48,DB01105$t
DB06813,DB06802,72,DB00691$h
DB01174,DB00187,59,DB01330$h
DB09285,DB00554,48,DB00951$h
DB00633,DB06153,48,DB01077$t
DB00684,DB03585,71,DB04948$h
DB09352,DB01620,75,DB00531$h
DB00794,DB01184,3,DB00202$h
DB00934,DB01253,48,DB12001$t
DB00829,DB01189,48,DB00751$t
DB00404,DB00468,46,DB00674$h
DB00512,DB00244,72,DB00235$h
DB01267,DB04908,48,DB06605$h
DB00814,DB08797,48,DB00166$h
DB00408,DB00228,48,DB00351$h
DB06403,DB09063,72,DB06730$h
DB01365,DB00420,60,DB06210$h
DB00839,DB00936,8,DB01103$h
DB00818,DB00721,48,DB00493$h
DB01197,DB00268,46,DB06813$t
DB00364,DB00827,74,DB04896$t
DB01410,DB01199,48,DB00933$h
DB01062,DB00273,48,DB00427$t
DB00091,DB00320,46,DB09211$t
DB00645,DB01615,48,DB05239$t
DB01182,DB09083,19,DB00634$h
DB01263,DB00176,46,DB06802$t
DB00714,DB00774,48,DB06654$t
DB00937,DB09167,22,DB00264$t
DB00559,DB00178,59,DB05239$t
DB00731,DB00582,46,DB01114$t
DB09085,DB00593,48,DB00359$t
DB09068,DB02703,72,DB06772$t
DB00794,DB01085,3,DB00333$h
DB02709,DB00945,48,DB01192$t
DB00528,DB00999,59,DB09128$h
DB06716,DB01176,48,DB01294$t
