Drug1_ID,Drug2_ID,Y,Neg samples
DB09034,DB00320,72,DB00959$h
DB00234,DB00270,46,DB00657$h
DB01223,DB00243,46,DB00448$t
DB00821,DB09216,48,DB00933$t
DB01075,DB01545,48,DB06264$h
DB00482,DB00903,28,DB01274$t
DB06723,DB11921,2,DB00163$h
DB00708,DB00273,48,DB11315$t
DB00697,DB01020,48,DB00456$h
DB00813,DB01463,48,DB00210$h
DB01244,DB00883,48,DB11633$h
DB00790,DB04861,48,DB00873$t
DB01018,DB01324,59,DB01235$h
DB09285,DB06196,48,DB01216$t
DB00598,DB01244,59,DB09209$h
DB01086,DB01149,48,DB06210$t
DB00946,DB01118,5,DB06152$t
DB00323,DB01202,48,DB09238$t
DB01618,DB09068,48,DB00813$h
DB00749,DB00905,69,DB08943$h
DB09352,DB00835,75,DB00837$h
DB00681,DB00188,48,DB00291$t
DB00243,DB00448,72,DB02546$h
DB00989,DB01062,69,DB01129$t
DB00636,DB00199,46,DB00658$h
DB00720,DB01578,23,DB04339$h
DB00371,DB01437,48,DB00396$t
DB01173,DB01615,15,DB00704$h
DB00006,DB01048,74,DB00917$t
DB00606,DB00422,36,DB08958$t
DB01193,DB00867,13,DB01036$h
DB00319,DB00385,74,DB09061$h
DB00318,DB06636,46,DB00821$t
DB00807,DB00660,48,DB01247$t
DB01192,DB01012,46,DB01217$t
DB00987,DB01026,46,DB06771$t
DB00240,DB00246,46,DB06774$h
DB01045,DB00860,74,DB09094$t
DB00764,DB01010,48,DB08827$t
DB00572,DB00708,48,DB00358$h
DB06697,DB00207,19,DB00974$t
DB01075,DB06594,48,DB01576$h
DB01590,DB09118,72,DB00417$h
DB00350,DB00960,48,DB00953$t
DB00339,DB09120,46,DB01418$t
DB00396,DB08865,46,DB00896$t
DB00932,DB09477,74,DB00502$h
DB06738,DB08820,72,DB08884$h
DB00433,DB00996,48,DB08439$h
DB00831,DB09071,48,DB00821$h
DB00748,DB00765,31,DB01589$t
DB13783,DB01193,69,DB00681$t
DB01151,DB05039,48,DB00520$t
DB01171,DB00745,46,DB00367$t
DB00207,DB01189,19,DB01415$t
DB00794,DB01143,59,DB00422$h
DB00989,DB00782,69,DB01165$h
DB00844,DB01081,48,DB00696$t
DB00625,DB00401,74,DB00780$h
DB00681,DB00900,66,DB06402$t
DB01215,DB06144,48,DB01118$t
DB00508,DB00205,72,DB01623$t
DB00615,DB00734,3,DB00175$h
DB00680,DB04861,59,DB13925$h
DB01320,DB08899,74,DB00882$t
DB00261,DB08871,19,DB01061$h
DB00398,DB01026,72,DB00492$h
DB01297,DB08918,72,DB01615$t
DB01351,DB01558,48,DB00578$h
DB00363,DB06712,48,DB00169$t
DB05351,DB00705,74,DB09061$h
DB00248,DB00599,48,DB06827$h
DB06207,DB09065,72,DB00982$h
DB00543,DB00952,48,DB01333$t
DB00795,DB06781,48,DB00351$t
DB12532,DB01114,48,DB00782$t
DB00957,DB08864,74,DB06792$t
DB00991,DB00655,48,DB00212$t
DB00696,DB09073,72,DB00790$h
DB01100,DB01355,48,DB06237$t
DB01091,DB09090,48,DB00939$t
DB00335,DB00390,53,DB00960$h
DB00496,DB00708,48,DB01246$t
DB00736,DB00283,46,DB09283$t
DB00835,DB00091,46,DB00395$h
DB00335,DB00586,36,DB06145$t
DB00782,DB12278,48,DB00974$t
DB09204,DB04896,72,DB00278$h
DB00258,DB00146,48,DB01364$t
DB01045,DB01151,3,DB00436$h
DB04574,DB00912,69,DB06771$t
DB00363,DB01261,69,DB08860$t
DB01263,DB01319,76,DB00393$t
DB00589,DB00820,48,DB06716$t
DB08987,DB00341,48,DB00953$h
DB00956,DB00623,15,DB00964$t
DB09079,DB00641,72,DB01136$h
DB00617,DB00338,46,DB00418$t
DB12070,DB01151,46,DB01545$t
DB03585,DB06196,48,DB09215$h
DB00297,DB00187,72,DB01094$h
DB00370,DB00754,15,DB00960$h
DB04908,DB05271,31,DB06626$t
DB00268,DB08807,24,DB00720$t
DB01137,DB00757,19,DB09211$t
DB00296,DB01209,48,DB04953$h
DB08987,DB00458,48,DB12267$h
DB00275,DB00784,48,DB06616$h
DB00945,DB00846,48,DB00158$h
DB05015,DB01072,72,DB01412$t
DB01045,DB01186,3,DB09330$h
DB00461,DB01047,48,DB09276$t
DB00652,DB01198,48,DB00959$h
DB00426,DB00343,46,DB00268$t
DB00502,DB00807,48,DB03619$h
DB00991,DB01155,26,DB01222$t
DB00517,DB00967,48,DB05630$h
DB08880,DB00334,74,DB01210$h
DB00246,DB12532,48,DB06261$t
DB01088,DB00384,48,DB00843$t
DB00474,DB00753,48,DB01223$t
DB00875,DB06788,19,DB00962$h
DB04844,DB00857,72,DB01168$t
DB00623,DB00470,15,DB01466$t
DB08976,DB01032,72,DB12070$t
DB00185,DB00343,46,DB01206$t
DB06695,DB04865,65,DB01121$h
DB01601,DB00557,19,DB00438$h
DB00897,DB01236,48,DB01112$t
DB00549,DB01129,46,DB09278$t
DB00943,DB09065,72,DB00754$t
DB06708,DB00176,46,DB00781$h
DB01174,DB01219,3,DB01193$h
DB06700,DB00298,48,DB00429$h
DB00794,DB01029,3,DB01168$h
DB00215,DB00451,69,DB05528$h
DB00503,DB06290,72,DB09183$t
DB00773,DB08865,46,DB08802$t
DB00996,DB00486,15,DB00651$t
DB00768,DB04953,48,DB01575$h
DB04946,DB00738,19,DB00181$t
DB01200,DB01158,48,DB00897$t
DB09117,DB00344,15,DB08797$t
DB00353,DB01628,48,DB00470$h
DB00370,DB00496,46,DB00717$t
DB00454,DB00313,48,DB00370$h
DB00897,DB08918,48,DB00193$t
DB09241,DB00652,59,DB00373$h
DB00899,DB01114,48,DB00282$t
DB00679,DB13139,72,DB09295$t
DB01200,DB04898,72,DB00723$h
DB00191,DB00967,75,DB00423$t
DB01201,DB06595,3,DB00214$h
DB00598,DB04896,72,DB01336$h
DB00502,DB01209,48,DB00321$t
DB00972,DB01601,46,DB01235$t
DB13142,DB00555,69,DB08798$t
DB00881,DB06414,74,DB09220$t
DB02709,DB09288,48,DB01764$h
DB00687,DB05521,74,DB00746$h
DB01233,DB01173,69,DB08798$h
DB00514,DB00215,63,DB01452$t
DB00280,DB08804,8,DB00221$h
DB00323,DB01320,48,DB00284$h
DB00584,DB09074,46,DB01764$t
DB01551,DB00695,48,DB01336$t
DB00608,DB01097,48,DB06766$h
DB00661,DB00727,48,DB00279$t
DB00477,DB00951,46,DB06150$h
DB08918,DB00397,84,DB08883$h
DB01118,DB00450,19,DB00443$h
DB01018,DB00254,46,DB06243$h
DB00606,DB00612,59,DB08893$t
DB00710,DB00997,23,DB11619$t
DB08815,DB13872,48,DB00718$t
DB00201,DB00661,46,DB00604$t
DB00398,DB06210,72,DB00788$h
DB00465,DB08819,69,DB01247$t
DB01045,DB06203,3,DB00784$h
DB00524,DB00390,48,DB00752$h
DB00396,DB01261,69,DB09276$t
DB00474,DB00472,48,DB12026$t
DB00567,DB00224,46,DB00791$h
DB00612,DB00651,13,DB00817$h
DB00687,DB00839,69,DB04398$h
DB00813,DB00349,48,DB00457$h
DB01501,DB06282,48,DB00991$h
DB09076,DB00295,48,DB08911$t
DB05109,DB00175,47,DB01022$t
DB00831,DB01545,48,DB11254$h
DB01173,DB00474,15,DB00485$h
DB11581,DB00227,46,DB00361$t
DB08916,DB13874,72,DB06441$t
DB00241,DB00273,48,DB00126$h
DB00559,DB00295,74,DB01168$t
DB00732,DB00254,20,DB06786$h
DB00605,DB00511,57,DB00945$t
DB01297,DB03585,36,DB00266$h
DB01041,DB00458,15,DB09135$t
DB00320,DB06695,76,DB01169$h
DB01609,DB00321,74,DB00544$h
DB00635,DB01026,72,DB00944$t
DB00821,DB00436,69,DB09135$h
DB02709,DB00917,69,DB01427$t
DB00564,DB00985,48,DB01110$h
DB00186,DB00765,31,DB01599$t
DB00512,DB00328,72,DB00578$h
DB00193,DB09048,72,DB00288$h
DB00458,DB00727,48,DB01392$h
DB00392,DB00647,48,DB11619$h
DB00508,DB01214,59,DB00625$h
DB00490,DB09085,48,DB00954$t
DB08918,DB01274,84,DB01627$t
DB06196,DB01160,69,DB01422$t
DB00333,DB01437,48,DB01410$h
DB00586,DB00544,72,DB00670$h
DB13783,DB00374,69,DB01131$t
DB09030,DB11079,48,DB01220$t
DB00997,DB11363,72,DB01576$t
DB00896,DB00545,48,DB00317$h
DB01229,DB00605,48,DB01331$h
DB00573,DB00972,48,DB01047$h
DB01211,DB00254,46,DB00774$t
DB00997,DB06595,72,DB00801$t
DB01577,DB13595,71,DB00347$h
DB09244,DB01359,59,DB01141$h
DB08815,DB01580,48,DB00689$h
DB08875,DB02703,72,DB01612$h
DB01169,DB06697,32,DB09101$h
DB09078,DB06788,19,DB00398$h
DB01174,DB00814,3,DB00115$h
DB04839,DB05271,74,DB01236$h
DB06148,DB00368,69,DB06702$t
DB00392,DB00219,48,DB05265$h
DB01267,DB01355,48,DB00631$h
DB01399,DB08797,48,DB00393$t
DB06696,DB00768,71,DB00849$h
DB01253,DB13139,48,DB02187$t
DB01074,DB01167,46,DB05039$t
DB00370,DB01239,15,DB00481$h
DB08912,DB08899,74,DB09095$h
DB00784,DB00588,48,DB01275$t
DB08881,DB06708,74,DB00650$t
DB11737,DB09048,72,DB11362$t
DB00805,DB09065,72,DB09153$h
DB01628,DB00208,46,DB00215$t
DB00869,DB00422,36,DB00405$h
DB06701,DB00543,48,DB01170$h
DB01357,DB00731,69,DB06150$t
DB00465,DB00180,48,DB00336$t
DB00768,DB00685,26,DB00953$h
DB00489,DB00594,48,DB08994$t
DB01151,DB00178,72,DB00303$h
