Drug1_ID,Drug2_ID,Y
DB09185,DB13952,1
DB00759,DB00841,1
DB01076,DB00734,0
DB00242,DB00898,22
DB01409,DB09555,0
DB00451,DB12371,0
DB00962,DB11817,1
DB00972,DB01059,0
DB11823,DB09273,9
DB09143,DB01220,3
DB00281,DB00280,14
DB00763,DB08910,2
DB00764,DB00357,6
DB01267,DB00224,0
DB00887,DB00928,10
DB06738,DB00788,0
DB00484,DB06716,7
DB01327,DB13955,1
DB01392,DB01021,8
DB00695,DB01245,98
DB01192,DB11753,0
DB00393,DB01116,13
DB01095,DB01233,0
DB00458,DB00757,0
DB01238,DB14568,3
DB00841,DB09239,6
DB01037,DB00778,0
DB00443,DB00197,19
DB00590,DB08899,3
DB00908,DB01131,0
DB01238,DB12141,6
DB06204,DB08912,3
DB15328,DB01087,4
DB08881,DB13952,4
DB01331,DB01043,1
DB01062,DB01232,0
DB00495,DB09063,0
DB09289,DB01018,2
DB01069,DB11633,0
DB00283,DB06218,2
DB00285,DB06218,2
DB00993,DB00530,0
DB00477,DB00563,3
DB09235,DB00763,10
DB01129,DB06589,30
DB00393,DB00502,5
DB00871,DB01075,5
DB01016,DB01582,12
DB01233,DB01234,6
DB01216,DB00675,0
DB12010,DB00726,61
DB00255,DB01041,76
DB00697,DB04948,2
DB00227,DB11613,0
DB04574,DB00317,0
DB00323,DB00432,1
DB01036,DB01072,4
DB00266,DB01355,0
DB08906,DB00487,43
DB01393,DB00481,16
DB08439,DB00261,18
DB00568,DB00715,0
DB04838,DB04855,14
DB06738,DB01283,0
DB00563,DB00422,1
DB06772,DB00321,0
DB00833,DB00186,1
DB00401,DB00727,54
DB06335,DB11703,0
DB00495,DB00762,2
DB00280,DB09039,5
DB01236,DB01245,2
DB06480,DB06589,0
DB09285,DB01580,8
DB01193,DB00390,14
DB00409,DB00705,0
DB11619,DB08883,3
DB00433,DB01380,3
DB00969,DB00996,2
DB00714,DB08873,0
DB00619,DB13074,5
DB00909,DB08828,0
DB06678,DB08932,8
DB06468,DB00502,5
DB00091,DB09235,0
DB01016,DB08933,4
DB05246,DB11823,2
DB00622,DB00443,3
DB00246,DB01395,0
DB00469,DB00544,0
DB00977,DB01129,0
DB01267,DB00503,4
DB00518,DB05521,0
DB01588,DB05246,2
DB06016,DB00472,4
DB09123,DB00432,6
DB09079,DB00252,3
DB00818,DB00458,7
DB14840,DB00437,1
DB04842,DB00866,25
DB06201,DB06233,0
DB11995,DB11641,4
DB01195,DB14068,14
DB00540,DB01408,6
DB00669,DB06216,2
DB14065,DB00264,25
DB01100,DB00195,0
DB08893,DB01191,0
DB00432,DB01041,2
DB00843,DB00996,2
DB01558,DB00392,7
DB00788,DB01186,9
DB00822,DB05294,5
DB01221,DB09338,10
DB00313,DB01086,55
DB00244,DB01333,1
DB00490,DB00394,3
DB00612,DB00476,71
DB06479,DB00518,0
DB00482,DB06210,0
DB00444,DB01333,3
DB00903,DB06710,1
DB00889,DB00940,7
DB00669,DB09262,7
DB00637,DB00273,3
DB00177,DB09351,15
DB00591,DB00668,35
DB00359,DB06710,1
DB01254,DB01380,3
DB00749,DB12831,26
DB04557,DB00327,0
DB12825,DB13956,3
DB01136,DB00409,0
DB00864,DB00220,4
DB11712,DB09039,4
DB01274,DB08877,1
DB00342,DB09288,0
DB01001,DB06637,1
DB06290,DB09280,11
DB00322,DB00706,1
DB13874,DB00494,0
DB01628,DB14126,59
DB00176,DB00425,7
DB13953,DB00586,0
DB00323,DB04842,2
DB00353,DB11362,8
DB00165,DB00709,1
DB04845,DB11586,3
DB01135,DB00860,78
DB00477,DB06654,6
DB00281,DB01079,0
DB00188,DB00322,2
DB00346,DB14068,13
DB13783,DB00261,18
DB00796,DB00629,8
DB01118,DB01142,0
DB01483,DB00810,7
DB11273,DB06774,0
DB00591,DB09080,35
DB00619,DB01079,0
DB01080,DB00908,7
DB01098,DB00418,3
DB00388,DB00500,9
DB00949,DB05676,3
DB00514,DB00401,0
DB09034,DB01204,0
DB08901,DB00819,0
DB00474,DB04871,2
DB00833,DB09262,1
DB09183,DB01217,0
DB00812,DB00187,8
DB00215,DB00315,21
DB01124,DB01128,0
DB00850,DB04953,2
DB09198,DB00359,12
DB00150,DB00998,2
DB00196,DB12278,1
DB00193,DB00843,6
DB01228,DB01236,5
DB00613,DB01100,5
DB00831,DB01192,90
DB00270,DB01035,14
DB00369,DB00698,1
DB04856,DB00367,0
DB00557,DB00864,5
DB00395,DB00502,2
DB00273,DB13955,1
DB00211,DB06726,6
DB06218,DB00554,0
DB09099,DB06287,0
DB13345,DB00590,0
DB00997,DB01011,3
DB00776,DB00921,7
DB14669,DB00839,19
DB00813,DB01628,0
DB09212,DB00381,8
DB00825,DB01069,5
DB00637,DB11703,0
DB00476,DB00570,0
DB08932,DB08439,6
DB06700,DB00788,32
DB00537,DB08911,1
DB00592,DB00932,0
DB01020,DB08934,1
DB01001,DB01274,2
DB00589,DB09224,6
DB13956,DB08906,4
DB02901,DB06605,44
DB01100,DB00849,3
DB04552,DB00564,1
DB01015,DB00903,6
DB00006,DB00266,18
DB00642,DB00625,0
DB00489,DB11827,17
DB06603,DB00590,0
DB00322,DB01168,2
DB06201,DB06470,2
DB00264,DB00819,0
DB00328,DB00490,1
DB06702,DB14011,82
DB01100,DB14631,3
DB00091,DB00715,0
DB00719,DB08881,5
DB09290,DB02134,0
DB06268,DB00461,6
DB03756,DB08899,3
DB09183,DB11837,0
DB00629,DB01036,31
DB01429,DB00439,0
DB13783,DB00187,8
DB06605,DB01159,0
DB08912,DB06791,0
DB06209,DB09262,1
DB06654,DB01216,0
DB01135,DB08918,2
DB00852,DB01235,21
DB00433,DB00396,3
DB00202,DB00969,2
DB00006,DB01327,6
DB00191,DB01175,21
DB01065,DB01595,2
DB08882,DB00370,0
DB09079,DB01182,4
DB00993,DB08880,11
DB00207,DB00685,5
DB00887,DB00519,2
DB00361,DB06469,0
DB00301,DB01138,1
DB00401,DB11642,11
DB03783,DB00461,0
DB09225,DB06589,0
DB05018,DB06480,1
DB01583,DB06479,10
DB00469,DB00203,0
DB00443,DB00945,2
DB08912,DB01384,3
DB00946,DB12245,0
DB00969,DB12319,0
DB00559,DB00613,0
DB00487,DB01396,5
DB09231,DB11703,0
DB00312,DB06216,2
DB00983,DB00755,0
DB00624,DB00333,0
DB00398,DB01101,5
DB04908,DB09239,8
DB08893,DB01074,0
DB11979,DB00972,0
DB00550,DB01393,22
DB00292,DB00642,1
DB00193,DB01175,21
DB01261,DB00537,12
DB01331,DB00861,1
DB00998,DB15685,9
DB05294,DB14538,3
DB11817,DB09280,11
DB01059,DB08881,5
DB00470,DB06414,0
DB00849,DB00422,4
DB13074,DB01591,6
DB00461,DB13139,1
DB01137,DB00637,5
DB01151,DB00758,0
DB00698,DB00909,10
DB01159,DB00810,7
DB00396,DB00289,0
DB00398,DB01009,0
DB00193,DB00792,0
DB00784,DB00307,0
DB00549,DB00091,0
DB00629,DB00810,31
DB06736,DB09232,15
DB00827,DB11730,5
DB00445,DB08868,36
DB00673,DB01211,0
DB05521,DB07348,4
DB11827,DB06212,4
DB11732,DB04861,20
DB00758,DB01117,0
DB08877,DB00668,0
DB01200,DB01628,9
DB13956,DB00312,3
DB06212,DB00882,4
DB13956,DB11613,1
DB01233,DB01223,0
DB09245,DB12831,26
DB00395,DB08897,7
DB00502,DB00338,4
DB00177,DB00176,0
DB06201,DB01454,2
DB01075,DB01191,21
DB09204,DB01136,24
DB14542,DB00497,0
DB00788,DB00818,0
DB00822,DB11642,11
DB11273,DB01220,3
DB00290,DB13946,1
DB00568,DB00904,5
DB13946,DB00763,0
DB00959,DB01059,43
DB01168,DB06693,22
DB01015,DB00675,0
