Drug1_ID,Drug2_ID,Y,Neg samples
DB06810,DB00991,71,DB11633$h
DB01058,DB00951,46,DB00181$t
DB01029,DB00544,46,DB00694$t
DB05039,DB11921,82,DB09048$t
DB08910,DB00476,48,DB01212$t
DB09543,DB00887,28,DB09330$t
DB01390,DB00860,2,DB01415$h
DB00554,DB01399,48,DB00704$t
DB00692,DB00594,48,DB00743$h
DB01558,DB00768,48,DB00547$t
DB01244,DB01282,48,DB13179$t
DB01116,DB01173,48,DB00142$h
DB01171,DB01023,59,DB01243$t
DB01174,DB00434,48,DB01006$t
DB09084,DB00324,48,DB00471$h
DB01608,DB01209,59,DB09488$t
DB00266,DB00437,5,DB00873$t
DB00524,DB06700,54,DB00663$h
DB00712,DB08991,48,DB00126$t
DB06791,DB00331,69,DB00338$t
DB00937,DB01084,75,DB00528$h
DB01256,DB01211,72,DB08882$t
DB00362,DB00401,48,DB09101$t
DB06710,DB09063,72,DB06786$h
DB01349,DB08865,46,DB09288$t
DB01133,DB06810,23,DB01113$h
DB01227,DB00540,48,DB00866$t
DB09117,DB00818,15,DB00788$t
DB08899,DB01431,74,DB06706$h
DB00335,DB13167,36,DB00234$t
DB00612,DB01274,13,DB09270$h
DB08912,DB01041,74,DB00599$h
DB01037,DB01097,46,DB00811$t
DB00427,DB00949,48,DB09166$t
DB00374,DB00227,46,DB00837$t
DB00947,DB00270,46,DB01201$t
DB00180,DB00254,46,DB00379$t
DB06287,DB01252,69,DB00552$t
DB00104,DB00612,53,DB06690$h
DB00593,DB00771,48,DB08881$t
DB00261,DB01189,19,DB01241$h
DB01133,DB01609,48,DB00561$t
DB01236,DB00612,48,DB05219$h
DB01075,DB00405,48,DB00367$t
DB00297,DB01211,46,DB06723$t
DB00395,DB00705,46,DB09123$t
DB09280,DB00988,74,DB09338$t
DB01356,DB13783,72,DB09083$h
DB00962,DB00588,48,DB00568$t
DB06802,DB00749,48,DB01041$t
DB04946,DB00268,31,DB01211$t
DB01057,DB01409,69,DB00238$t
DB01010,DB01019,48,DB01357$t
DB00636,DB01149,46,DB00927$t
DB01624,DB00938,19,DB05039$h
DB09220,DB00521,59,DB01408$h
DB09102,DB01149,72,DB09014$h
DB00296,DB01203,48,DB05381$t
DB06723,DB01095,74,DB00388$h
DB01592,DB00585,66,DB09042$t
DB00371,DB01589,48,DB06730$h
DB01136,DB00398,72,DB00346$h
DB00564,DB00519,3,DB00527$h
DB09282,DB00691,59,DB08932$h
DB00717,DB08882,74,DB01101$h
DB08903,DB00358,19,DB06691$t
DB08867,DB00188,72,DB01232$h
DB09049,DB01023,72,DB09084$t
DB09241,DB08931,59,DB00465$t
DB00418,DB01202,48,DB01169$t
DB09095,DB00358,48,DB00784$t
DB01567,DB01219,48,DB00280$h
DB01229,DB09570,48,DB00142$h
DB01200,DB04948,48,DB00204$h
DB00899,DB01275,48,DB06150$t
DB06201,DB06144,48,DB00126$h
DB09049,DB00845,72,DB01622$t
DB01551,DB09330,72,DB01433$t
DB09042,DB00298,48,DB00504$h
DB00857,DB09230,48,DB13158$h
DB01422,DB00528,48,DB06290$h
DB00482,DB09212,48,DB04908$t
DB00228,DB13025,48,DB00917$h
DB01098,DB00582,46,DB09138$t
DB00788,DB00196,46,DB13879$t
DB00521,DB02709,36,DB00471$h
DB00850,DB01198,48,DB08970$h
DB00324,DB01208,48,DB01242$h
DB00854,DB04844,48,DB01023$h
DB00312,DB05039,3,DB08984$h
DB01435,DB00774,69,DB13158$t
DB00808,DB01252,69,DB01321$h
DB01234,DB06695,76,DB09041$h
DB01174,DB08987,48,DB11106$h
DB00337,DB13783,48,DB00277$t
DB01069,DB00557,15,DB02709$t
DB08905,DB01211,72,DB09289$h
DB00239,DB06413,46,DB09135$t
DB09555,DB01242,46,DB00213$t
DB08916,DB00726,72,DB01219$h
DB08827,DB08820,72,DB09130$t
DB00813,DB01017,15,DB01332$h
DB00297,DB00413,31,DB01168$t
DB00734,DB08808,24,DB08991$h
DB06216,DB00334,19,DB00237$t
DB01589,DB09063,72,DB00844$h
DB00503,DB00682,74,DB04920$h
DB00854,DB01353,48,DB08896$t
DB09292,DB08981,48,DB08932$h
DB08905,DB00224,72,DB09265$h
DB01174,DB00356,3,DB06207$h
DB00812,DB00288,48,DB13139$h
DB00214,DB01612,48,DB13878$h
DB00655,DB04868,46,DB00296$t
DB00091,DB01349,67,DB01280$h
DB06196,DB01208,26,DB00959$t
DB00814,DB00884,48,DB08806$h
DB00559,DB06738,74,DB06792$t
DB01198,DB08910,48,DB01268$h
