Drug1_ID,Drug2_ID,Y,Neg samples
DB00541,DB08881,72,DB00806$t
DB00395,DB00622,46,DB00612$t
DB01551,DB01232,46,DB00985$t
DB00404,DB00408,48,DB00908$t
DB06772,DB05109,48,DB13878$t
DB00898,DB00808,29,DB00844$h
DB06723,DB01708,2,DB08994$h
DB00413,DB01037,48,DB01142$h
DB05246,DB04896,48,DB00333$h
DB00457,DB01144,48,DB00807$t
DB00812,DB00591,48,DB01103$h
DB01227,DB00737,48,DB09069$h
DB00312,DB00887,59,DB01623$t
DB00656,DB01002,48,DB00251$t
DB00849,DB01143,59,DB08922$t
DB09017,DB09068,48,DB09267$t
DB06209,DB00770,5,DB09244$h
DB00849,DB05246,48,DB00176$h
DB00335,DB00883,48,DB01420$t
DB00554,DB00808,69,DB00717$h
DB00937,DB00427,75,DB00362$h
DB00844,DB01587,48,DB00704$t
DB00907,DB01254,72,DB00576$t
DB00795,DB00770,69,DB01558$h
DB00471,DB00320,46,DB00583$t
DB00714,DB00571,24,DB04571$t
DB01229,DB00703,48,DB09282$t
DB00921,DB00434,15,DB01333$t
DB09330,DB00917,74,DB00425$t
DB06711,DB01242,36,DB00193$t
DB00531,DB00398,14,DB09323$h
DB00503,DB09027,74,DB00802$h
DB00851,DB12332,46,DB00210$t
DB00500,DB01600,48,DB00316$h
DB01274,DB00338,46,DB00270$t
DB00864,DB12598,46,DB09123$t
DB00918,DB00300,46,DB01190$t
DB00252,DB00188,74,DB08827$t
DB00924,DB00952,48,DB00671$h
DB06684,DB00333,48,DB01136$t
DB00014,DB01403,19,DB01615$t
DB00514,DB08815,48,DB00591$t
DB09262,DB01149,72,DB01586$t
DB01028,DB00835,48,DB01094$h
DB00814,DB00169,46,DB12364$t
DB06636,DB00270,46,DB00922$t
DB00776,DB00304,74,DB09083$h
DB00884,DB00213,72,DB01393$h
DB06820,DB00343,48,DB00684$h
DB09279,DB01115,48,DB06715$h
DB09085,DB00413,31,DB00860$t
DB00701,DB09268,69,DB00357$h
DB00443,DB01122,48,DB00669$h
DB01551,DB09238,46,DB01127$t
DB00218,DB06788,19,DB00766$t
DB09244,DB00212,59,DB00577$h
DB01232,DB01251,69,DB01411$h
DB00896,DB01155,48,DB01209$t
DB08912,DB00343,74,DB00360$t
DB00618,DB09281,66,DB09075$h
DB01437,DB01104,48,DB00622$h
DB00946,DB08933,72,DB01197$t
DB00418,DB00338,3,DB01622$h
DB00217,DB00177,59,DB01179$h
DB01575,DB00608,74,DB06209$t
DB00468,DB00715,19,DB01326$h
DB00252,DB06290,72,DB01621$t
DB00806,DB00501,72,DB00540$h
DB00625,DB00906,48,DB00956$h
DB00353,DB00398,48,DB00336$t
DB12267,DB01394,74,DB00906$t
DB01409,DB00318,48,DB00983$h
DB01394,DB01037,72,DB00355$t
DB00312,DB01615,48,DB01395$t
DB00652,DB00494,48,DB00487$h
DB00489,DB01019,48,DB00404$h
DB06792,DB01197,74,DB01197$h
DB06772,DB00947,48,DB00872$h
DB00243,DB01162,72,DB00214$t
DB01551,DB00508,48,DB00519$h
DB00699,DB02701,48,DB01223$t
DB00843,DB01214,53,DB01041$t
DB04574,DB00779,48,DB08827$h
DB00458,DB09054,46,DB00520$h
DB00549,DB05521,46,DB04844$t
DB00187,DB01024,36,DB00722$t
DB00899,DB00808,48,DB06810$t
DB01242,DB00178,72,DB00845$h
DB00179,DB08905,48,DB06816$h
DB01174,DB06155,3,DB05015$h
DB00524,DB01252,69,DB00381$t
DB00592,DB06335,69,DB01595$h
DB00623,DB06702,76,DB01147$t
DB06201,DB08883,48,DB01228$h
DB01014,DB04574,48,DB00590$h
DB00425,DB00427,15,DB00357$t
DB04844,DB01118,72,DB08916$t
DB00180,DB01149,46,DB05351$t
DB01104,DB00213,46,DB01551$t
DB00881,DB04861,48,DB00598$h
DB01394,DB08933,72,DB00349$t
DB01545,DB00557,15,DB00650$t
DB08881,DB06820,32,DB01219$h
DB00734,DB04846,24,DB01338$h
DB04946,DB01182,19,DB09031$h
DB01198,DB09345,48,DB00722$h
DB01229,DB00612,48,DB11989$t
DB00877,DB00519,48,DB00689$h
DB00362,DB00381,48,DB01172$h
DB04861,DB00257,72,DB01511$h
DB00418,DB06589,3,DB01433$t
DB01062,DB00647,48,DB09277$h
DB00388,DB00852,48,DB01511$t
DB00977,DB09054,46,DB09128$t
DB00519,DB00881,48,DB00687$t
DB06725,DB00887,28,DB01047$t
DB00418,DB00623,48,DB04930$t
DB01083,DB06335,74,DB00573$h
DB01197,DB01224,48,DB00570$h
DB06690,DB00933,48,DB01599$t
DB00296,DB01065,48,DB01627$t
DB00263,DB01001,19,DB06691$t
DB00872,DB04845,72,DB06264$h
DB01567,DB00366,15,DB00601$t
DB09270,DB01380,72,DB09079$t
DB00336,DB00264,46,DB01613$t
DB00854,DB06767,64,DB00986$t
DB06708,DB05039,19,DB01423$h
DB13872,DB00363,48,DB00198$h
DB00571,DB06636,46,DB09278$t
DB06335,DB00619,72,DB00906$h
DB01015,DB05219,46,DB01173$t
DB01320,DB01194,3,DB00356$h
DB00292,DB09118,48,DB09273$h
DB00615,DB06145,3,DB00718$h
DB00252,DB00304,69,DB01410$t
DB00872,DB00193,72,DB05676$h
DB00176,DB09198,46,DB00581$t
DB09224,DB06204,15,DB02959$t
DB01628,DB02187,48,DB01090$t
DB08903,DB00263,19,DB00885$h
DB00408,DB01623,48,DB09112$h
DB01041,DB08815,15,DB00938$t
DB00206,DB01219,48,DB01331$t
DB08439,DB00188,46,DB00987$t
DB00323,DB00660,48,DB01466$t
DB00611,DB00996,48,DB00472$h
DB00528,DB00800,59,DB06701$t
DB00911,DB00898,48,DB01078$h
DB00503,DB08820,72,DB00373$t
DB00938,DB06717,72,DB00486$h
DB01576,DB06794,75,DB02701$t
DB01045,DB01621,3,DB00320$h
DB00264,DB00553,72,DB06820$h
DB00690,DB11609,48,DB01410$h
DB09570,DB08865,46,DB08867$t
DB01234,DB04876,69,DB09083$h
DB01024,DB01395,74,DB01151$h
DB00842,DB01567,48,DB00573$h
DB00349,DB00603,74,DB06737$h
DB13783,DB01160,69,DB09156$t
