Drug1_ID,Drug2_ID,Y
DB09201,DB00396,6
DB14011,DB09185,2
DB00759,DB11901,16
DB00734,DB06207,39
DB00758,DB00242,18
DB01409,DB06684,0
DB00451,DB01181,3
DB00962,DB11859,2
DB00972,DB11574,0
DB09273,DB09351,6
DB11823,DB01220,3
DB00640,DB00280,14
DB00762,DB12015,3
DB14583,DB00357,3
DB00350,DB00224,0
DB00887,DB01435,6
DB00788,DB08875,0
DB00484,DB00918,7
DB06652,DB01248,0
DB01020,DB09227,54
DB00694,DB01698,0
DB01193,DB04846,14
DB01367,DB00392,7
DB01095,DB05676,3
DB00458,DB09118,0
DB01238,DB09205,9
DB00841,DB01126,9
DB06603,DB00778,0
DB00197,DB04920,0
DB01408,DB00590,6
DB01076,DB05015,0
DB01238,DB06691,0
DB01388,DB08807,25
DB00993,DB08910,2
DB09297,DB08881,4
DB06616,DB08899,4
DB03496,DB00977,3
DB00836,DB00495,0
DB04905,DB05990,2
DB01069,DB01394,0
DB00283,DB00849,2
DB11757,DB00285,0
DB09013,DB00530,0
DB00477,DB00988,1
DB00763,DB11691,1
DB01129,DB08864,30
DB01001,DB00393,5
DB09289,DB11633,3
DB01016,DB01200,17
DB09288,DB12978,4
DB14538,DB00675,3
DB00726,DB08931,8
DB00402,DB00255,0
DB00697,DB01297,6
DB00227,DB01764,0
DB09068,DB00317,0
DB00323,DB04841,2
DB01035,DB11915,0
DB00266,DB03756,0
DB00486,DB00924,29
DB13074,DB00477,6
DB00599,DB00263,12
DB00568,DB04861,25
DB06512,DB04832,2
DB06510,DB01217,0
DB00421,DB00708,6
DB00947,DB00321,0
DB00186,DB00206,2
DB00401,DB06700,1
DB06335,DB06710,1
DB11586,DB00494,0
DB00280,DB00564,3
DB01236,DB06144,2
DB06480,DB08934,1
DB01577,DB11915,1
DB00389,DB06605,44
DB06176,DB00404,0
DB08893,DB09083,5
DB00433,DB00818,2
DB00968,DB01229,22
DB00714,DB06716,2
DB00843,DB00619,0
DB11712,DB05015,4
DB06678,DB09026,8
DB00502,DB14033,0
DB01275,DB00091,0
DB01132,DB13928,17
DB05246,DB12161,5
DB12483,DB00443,3
DB01124,DB00246,6
DB00469,DB00760,1
DB06603,DB00997,0
DB13955,DB00503,4
DB09061,DB00514,2
DB01587,DB06335,1
DB09462,DB00472,6
DB00625,DB00428,3
DB09079,DB00252,3
DB00458,DB00946,2
DB11362,DB00436,12
DB06201,DB00866,2
DB00936,DB13955,1
DB11641,DB11791,4
DB01195,DB06603,0
DB00540,DB00946,2
DB00669,DB09238,8
DB14066,DB00264,25
DB00195,DB01156,0
DB01191,DB13955,0
DB08816,DB00428,18
DB00843,DB01295,20
DB00802,DB00392,2
DB01242,DB00787,0
DB00822,DB01072,6
DB01435,DB06726,8
DB00313,DB01392,2
DB00244,DB00698,1
DB00394,DB00481,1
DB06603,DB00474,3
DB04861,DB00518,0
DB08922,DB00482,0
DB11613,DB00444,1
DB00938,DB00903,35
DB00887,DB09068,10
