Drug1_ID,Drug2_ID,Y
DB00396,DB00624,1
DB09195,DB13952,1
DB00760,DB00841,1
DB09173,DB00734,0
DB00242,DB01033,2
DB01410,DB09082,2
DB00451,DB00705,0
DB00963,DB04743,2
DB00972,DB01005,0
DB09282,DB13919,13
DB01221,DB08912,3
DB00829,DB00279,6
DB06710,DB00763,0
DB14185,DB00357,3
DB00224,DB00528,22
DB00889,DB09039,5
DB09273,DB00790,34
DB00484,DB01558,7
DB01251,DB08807,12
DB01021,DB06211,10
DB00695,DB12093,13
DB01263,DB01195,5
DB00392,DB01384,6
DB06211,DB01098,16
DB09167,DB00458,0
DB11915,DB01238,0
DB00842,DB00962,2
DB00780,DB04829,2
DB00197,DB00279,6
DB00590,DB06207,39
DB11967,DB01079,0
DB01242,DB08931,8
DB09068,DB01388,0
DB00993,DB06595,0
DB09330,DB08881,4
DB14541,DB06605,0
DB00977,DB08912,0
DB00495,DB00530,0
DB04898,DB14033,0
DB09079,DB01071,0
DB01254,DB00283,5
DB00317,DB00285,0
DB00530,DB12245,0
DB00477,DB01213,1
DB01071,DB00763,0
DB01130,DB01261,19
DB00393,DB06212,15
DB09295,DB11273,9
DB04557,DB01016,0
DB09289,DB13943,3
DB11273,DB00675,0
DB00726,DB01405,5
DB13956,DB00252,11
DB01223,DB00697,0
DB00227,DB01087,0
DB00317,DB14840,1
DB00323,DB00589,2
DB01036,DB09231,5
DB01333,DB00266,18
DB01014,DB00487,38
DB00477,DB00627,0
DB00261,DB00763,0
DB00568,DB13783,15
DB04832,DB09285,32
DB11613,DB01218,0
DB00422,DB06152,9
DB00321,DB09216,1
DB00186,DB04829,2
DB00604,DB00401,0
DB06335,DB13179,0
DB00675,DB00494,0
DB00608,DB00280,5
DB09038,DB01238,6
DB06480,DB08901,4
DB09216,DB01580,8
DB00389,DB11737,6
DB00404,DB05015,0
DB09288,DB08883,0
DB00433,DB06153,2
DB00969,DB01039,0
DB01268,DB00714,0
DB00619,DB00675,3
DB05015,DB06210,0
DB06670,DB08865,4
DB00502,DB01624,5
DB01685,DB00091,0
DB06207,DB01136,4
DB05239,DB06587,0
DB04946,DB00443,3
DB00246,DB00861,9
DB00469,DB06282,1
DB00998,DB08918,2
DB08883,DB00503,4
DB00518,DB01011,3
DB09073,DB01587,0
DB00472,DB01234,3
DB00432,DB09073,2
DB00250,DB06412,0
DB00458,DB01132,53
DB12001,DB00437,1
DB01289,DB00866,12
DB00938,DB09083,5
DB15685,DB11642,11
DB01198,DB04794,0
DB00540,DB06702,7
DB00669,DB01065,2
DB14631,DB00263,19
DB00195,DB00209,0
DB01192,DB06412,0
DB01418,DB00428,3
DB06605,DB00843,0
DB00392,DB01182,20
DB00788,DB01043,1
DB00823,DB01333,3
DB01435,DB13952,1
DB14063,DB00313,5
DB14538,DB00244,23
DB08901,DB00394,3
DB01259,DB00474,0
DB00518,DB01204,0
DB06678,DB00482,0
DB14538,DB00444,3
DB00904,DB00918,2
DB12825,DB00889,40
DB00669,DB01407,9
DB00273,DB00441,1
DB00177,DB00594,15
DB01050,DB00591,23
DB00359,DB00622,0
DB09195,DB01255,0
DB00749,DB01656,1
DB06725,DB00327,1
DB01236,DB04665,18
DB00409,DB06446,2
DB00540,DB00218,0
DB11757,DB09039,0
DB01412,DB08907,10
DB00852,DB00342,58
DB01105,DB01215,2
DB00897,DB11703,0
DB00322,DB14539,2
DB04905,DB00494,0
DB06702,DB04840,0
DB11967,DB00173,0
DB01159,DB00586,0
DB00470,DB00323,7
DB00351,DB00897,1
DB00165,DB00690,1
DB04953,DB04844,5
DB00861,DB01067,28
DB00477,DB00912,1
DB00281,DB00593,14
DB00187,DB00208,0
DB00343,DB01097,0
DB00261,DB06292,0
DB00628,DB00879,1
DB00933,DB11156,2
DB00811,DB01685,1
DB14541,DB14538,0
DB09214,DB00591,23
DB00619,DB00679,5
DB00908,DB01483,3
DB01327,DB00418,1
DB04889,DB00384,0
DB01050,DB00951,1
DB00401,DB11901,1
DB09102,DB01211,0
DB00820,DB14011,0
DB00474,DB00708,2
DB01036,DB00834,5
DB01068,DB00982,1
DB00708,DB00187,8
DB01412,DB00215,0
DB11823,DB01006,0
DB01014,DB00851,1
DB14568,DB00358,0
DB00150,DB00960,2
DB00196,DB00760,1
DB01429,DB00193,0
DB12978,DB05928,0
DB00613,DB00758,0
DB09061,DB00831,2
DB00932,DB00270,1
DB00714,DB00367,0
DB00367,DB09030,50
DB00557,DB01118,5
DB00395,DB11855,7
DB00533,DB00273,1
DB01182,DB00209,0
DB00555,DB06201,4
DB08439,DB04871,1
DB06702,DB00590,0
DB08932,DB11642,11
DB06772,DB00776,3
DB00841,DB11691,1
DB00813,DB01213,1
DB00465,DB00381,8
DB01645,DB00827,0
DB14975,DB00637,4
DB00476,DB01157,1
DB08439,DB08816,26
DB00788,DB01026,0
DB12483,DB00537,0
DB01166,DB00592,0
DB01251,DB01021,6
DB04975,DB01043,0
DB00589,DB11855,7
DB12130,DB08906,0
DB04743,DB02709,18
DB00850,DB05246,2
DB11156,DB00564,1
DB08877,DB04846,20
DB06654,DB00006,26
DB12483,DB00625,3
DB00489,DB11979,0
DB00590,DB04743,6
DB00827,DB00321,40
DB14011,DB06152,31
DB00451,DB00264,0
DB00328,DB01074,15
DB12332,DB02709,0
DB01101,DB06589,2
DB00091,DB00904,0
DB00719,DB01023,5
DB12825,DB01873,0
DB01014,DB00461,6
DB06152,DB11827,17
DB09285,DB09185,1
DB01056,DB00629,0
DB09299,DB00439,0
DB00187,DB11362,13
DB04725,DB00881,33
DB01396,DB13943,3
DB06772,DB06207,4
DB14185,DB09089,24
DB01559,DB03575,2
DB00857,DB01098,22
DB00396,DB00544,1
DB00202,DB11855,7
DB00006,DB08895,18
DB04855,DB00191,6
DB01067,DB04946,6
DB00370,DB06729,0
DB00872,DB09128,0
DB01357,DB13946,3
DB00531,DB00206,3
